fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
,"3",Suelo,"1",Suelo 1,20231016_153157093576_449,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,110.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"2",Suelo 2,20231016_153224936157_301,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,82.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"3",Suelo 3,20231016_153258468763_788,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,97.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"4",Suelo 4,20231016_153354590538_910,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,83.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"5",Suelo 5,20231016_153507199414_411,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,72.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"6",Suelo 6,20231016_153535251783_384,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,67.000000000000000,3.000000000000000,0.044776119402985
,"3",Suelo,"7",Suelo 7,20231016_153604373502_770,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,295.000000000000000,7.000000000000000,0.023728813559322
"1","3",Bosque_antiguo,"1",Bosque_antiguo 1,20231016_120437855270_105,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,75.000000000000000,75.000000000000000,1.000000000000000
"2","3",Bosque_antiguo,"2",Bosque_antiguo 2,20231016_120509436404_188,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,119.000000000000000,118.000000000000000,0.991596638655462
"3","3",Bosque_antiguo,"3",Bosque_antiguo 3,20231016_120605611128_761,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,60.000000000000000,58.000000000000000,0.966666666666667
"4","3",Bosque_antiguo,"4",Bosque_antiguo 4,20231016_120712810977_915,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,62.000000000000000,32.000000000000000,0.516129032258065
