fid,MC_ID,MC_name,C_ID,C_name,SCP_UID,layer,path,_count,_sum,_mean
,"3",Suelo,"4",Suelo 4,20231016_153354590538_910,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,6.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"5",Suelo 5,20231016_153507199414_411,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,4.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"6",Suelo 6,20231016_153535251783_384,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,7.000000000000000,0.000000000000000,0.000000000000000
,"3",Suelo,"7",Suelo 7,20231016_153604373502_770,training_input_2,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_2.shp,22.000000000000000,0.000000000000000,0.000000000000000
"1","3",Bosque_antiguo,"1",Bosque_antiguo 1,20231016_120437855270_105,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,8.000000000000000,8.000000000000000,1.000000000000000
"2","3",Bosque_antiguo,"2",Bosque_antiguo 2,20231016_120509436404_188,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,11.000000000000000,11.000000000000000,1.000000000000000
"3","3",Bosque_antiguo,"3",Bosque_antiguo 3,20231016_120605611128_761,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,5.000000000000000,5.000000000000000,1.000000000000000
"4","3",Bosque_antiguo,"4",Bosque_antiguo 4,20231016_120712810977_915,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,10.000000000000000,5.000000000000000,0.500000000000000
"5","3",Bosque_antiguo,"5",Bosque_antiguo 5,20231016_120752504672_336,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,7.000000000000000,0.000000000000000,0.000000000000000
"6","3",Bosque_antiguo,"6",Bosque_antiguo 6,20231016_120851952192_908,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,4.000000000000000,3.000000000000000,0.750000000000000
"7","3",Bosque_antiguo,"7",Bosque_antiguo 7,20231016_121008739633_517,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,7.000000000000000,7.000000000000000,1.000000000000000
"8","3",Bosque_antiguo,"8",Bosque_antiguo 8,20231016_121232130412_563,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,10.000000000000000,6.000000000000000,0.600000000000000
"9","3",Bosque_antiguo,"9",Bosque_antiguo 9,20231016_121328186837_907,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,5.000000000000000,5.000000000000000,1.000000000000000
"10","3",Bosque_antiguo,"10",Bosque_antiguo 10,20231016_121709630038_492,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,4.000000000000000,4.000000000000000,1.000000000000000
"11","4",Suelo,"1",Suelo 1,20231016_125550000973_665,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,24.000000000000000,0.000000000000000,0.000000000000000
"12","4",Suelo,"2",Suelo 2,20231016_125719142281_748,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,4.000000000000000,0.000000000000000,0.000000000000000
"13","4",Suelo,"3",Suelo 3,20231016_125757831785_211,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,9.000000000000000,0.000000000000000,0.000000000000000
"14","4",Suelo,"4",Suelo 4,20231016_125848091245_853,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,9.000000000000000,1.000000000000000,0.111111111111111
"15","4",Suelo,"5",Suelo 5,20231016_125953548481_376,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,4.000000000000000,0.000000000000000,0.000000000000000
"16","4",Suelo,"6",Suelo 6,20231016_130111209170_701,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,2.000000000000000,0.000000000000000,0.000000000000000
"17","4",Suelo,"7",Suelo 7,20231016_130300035936_491,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,37.000000000000000,0.000000000000000,0.000000000000000
"18","4",Suelo,"8",Suelo 8,20231016_130351125497_175,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,7.000000000000000,0.000000000000000,0.000000000000000
"19","4",Suelo,"9",Suelo 9,20231016_130447996596_289,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,3.000000000000000,0.000000000000000,0.000000000000000
"20","4",Suelo,"10",Suelo 10,20231016_130543878056_473,training_input_ir1,/Users/elenabalmaceda/Library/CloudStorage/OneDrive-UniversidadCatólicadeChile/TESIS - EBB/Datos clasificacion/SV_LLAMARA/training_input_LLAMARA/training_input_ir1.shp,21.000000000000000,0.000000000000000,0.000000000000000
,"1",Bosque antiguo,"1",Bosque antiguo 1,20231024_230426585028_487,,,88.000000000000000,83.000000000000000,0.943181818181818
,"1",Bosque antiguo,"2",Bosque antiguo 2,20231024_230512053271_484,,,79.000000000000000,73.000000000000000,0.924050632911392
,"1",Bosque antiguo,"3",Bosque antiguo 3,20231024_230630032245_111,,,60.000000000000000,48.000000000000000,0.800000000000000
,"1",Bosque antiguo,"4",Bosque antiguo 4,20231024_230800257570_116,,,110.000000000000000,104.000000000000000,0.945454545454545
,"1",Bosque antiguo,"5",Bosque antiguo 5,20231024_231217369745_784,,,89.000000000000000,82.000000000000000,0.921348314606742
,"1",Bosque antiguo,"6",Bosque antiguo 6,20231024_231306432340_172,,,77.000000000000000,65.000000000000000,0.844155844155844
,"1",Bosque antiguo,"7",Bosque antiguo 7,20231024_231348920111_719,,,69.000000000000000,60.000000000000000,0.869565217391304
,"1",Bosque antiguo,"8",Bosque antiguo 8,20231024_231424196636_190,,,81.000000000000000,72.000000000000000,0.888888888888889
